path,has_layout,has_visual_assets,has_text,has_images,has_subnodes,raw_path,raw_filename
1_OnceAndOnceAgain.textile.CardWeave,false,false,0,0,true,1_OnceAndOnceAgain/textile/CardWeave,CardWeave
1_OnceAndOnceAgain.textile.CardWeave.20230000_v1_0,false,true,0,5,false,1_OnceAndOnceAgain/textile/CardWeave/20230000_v1.0,20230000_v1.0
1_OnceAndOnceAgain.textile.CardWeave.20240100_v2_0,false,true,0,7,false,1_OnceAndOnceAgain/textile/CardWeave/20240100_v2.0,20240100_v2.0
1_OnceAndOnceAgain.textile.Knit,false,false,0,0,true,1_OnceAndOnceAgain/textile/Knit,Knit
1_OnceAndOnceAgain.textile.Knit.20230000_v1_1,false,true,0,6,false,1_OnceAndOnceAgain/textile/Knit/20230000_v1.1,20230000_v1.1
1_OnceAndOnceAgain.textile.Knit.20230130_v1_0,false,true,0,1,false,1_OnceAndOnceAgain/textile/Knit/20230130_v1.0,20230130_v1.0
1_OnceAndOnceAgain.textile.Knit.20231200_v2_0,false,true,0,4,false,1_OnceAndOnceAgain/textile/Knit/20231200_v2.0,20231200_v2.0
1_OnceAndOnceAgain.textile.Knit.20240200_v3_0,false,true,0,6,false,1_OnceAndOnceAgain/textile/Knit/20240200_v3.0,20240200_v3.0
1_OnceAndOnceAgain.textile.Weave,false,false,0,0,true,1_OnceAndOnceAgain/textile/Weave,Weave
1_OnceAndOnceAgain.textile.Weave.20230426_v1_0,false,true,0,22,false,1_OnceAndOnceAgain/textile/Weave/20230426_v1.0,20230426_v1.0
1_OnceAndOnceAgain.textile.Weave.20230701_v1_1,false,true,0,12,false,1_OnceAndOnceAgain/textile/Weave/20230701_v1.1,20230701_v1.1
1_OnceAndOnceAgain.textile.Weave.20240213_v2_0,false,true,0,18,false,1_OnceAndOnceAgain/textile/Weave/20240213_v2.0,20240213_v2.0
